"ZC3HC1","T170778",,,,,,,,,,,,,
"FGB","T140780",,,,,,,,,,,,,
"TERT","T148430",,,,,,,,,,,,,
"CD55","T088832","T088833","T088834","T088842","T088843","T088848","T088850",,,,,,,
"PCSK9","T095546","T095547","T095548",,,,,,,,,,,
"PLPP3","T095602","T095616","T095617","T095619","T095620","T095621","T095625",,,,,,,
"MORF4L1","T046877","T046882","T046884","T046885","T046886","T046887","T046888","T046889","T046892",,,,,
"CELSR2","T080173",,,,,,,,,,,,,
"LIPA","T007947","T007950","T007951","T007963","T008018","T008030","T008032","T008034","T008037",,,,,
"MIA3","T090118","T090121","T090122","T090123",,,,,,,,,,
"NOS3","T172658","T172660","T172663",,,,,,,,,,,
"SMAD3","T045737","T045738","T045739","T045740","T045741","T045742","T045743","T045750","T045762","T045771","T045787","T045789","T045790",
"SCARB1","T022665","T022666","T022667","T022668",,,,,,,,,,
"COL4A1","T031315","T031316","T031326","T031346",,,,,,,,,,
"ARHGAP26","T149874","T149893","T149948",,,,,,,,,,,
"MRAS","T129498","T129499","T129501","T129503","T129504","T129506","T129508","T129509","T129510",,,,,
"COL4A2","T031342","T031343","T031344","T031345","T031348","T031376",,,,,,,,
"CDH13","T054401",,,,,,,,,,,,,
"LDLR","T069737","T069738","T069739","T069740","T069744","T069745","T069750","T069751",,,,,,
"IL6R","T083043","T083045","T083048",,,,,,,,,,,
"ATP2B1","T030018","T030022","T030023","T030024","T030040","T030049","T030050","T030053",,,,,,
"CFDP1","T053989","T053990",,,,,,,,,,,,
"FURIN","T047894","T047895","T047900","T047901","T047902","T047904","T047905",,,,,,,
"ATXN2","T021093","T021094","T021100","T021101","T021102","T021103","T021104",,,,,,,
"EDNRA","T140366","T140367",,,,,,,,,,,,
"NBEAL1","T117461","T117462","T117463","T117464","T117465",,,,,,,,,
"SMG6","T056369","T056370","T056371","T056373","T056374","T056375",,,,,,,,
"UMPS","T128403",,,,,,,,,,,,,
"SMARCA4","T069722","T069723","T069724","T069725",,,,,,,,,,
"SH2B3","T021081","T021082","T021083","T021091",,,,,,,,,,
"LPL","T182939","T182941",,,,,,,,,,,,
"ZPR1","T010044","T010045",,,,,,,,,,,,
"FES","T047909","T047910","T047912",,,,,,,,,,,
"CDKN2B","T192284","T192285",,,,,,,,,,,,
"TNS1","T118784","T118789","T118791","T118796","T118797","T118798","T118799","T118807","T118819","T118820","T118821","T118825","T118833","T118834"
"AS3MT","T000549","T000550",,,,,,,,,,,,
"TRIM5","T014991","T014992","T014993",,,,,,,,,,,
"PSRC1","T080188","T080189",,,,,,,,,,,,
"CYP46A1","T035053",,,,,,,,,,,,,
"ARHGEF26","T130661","T130662",,,,,,,,,,,,
"TRIB1","T180574","T180576","T180577","T180578","T180580","T180581","T180589",,,,,,,
"APOE","T075400","T075401",,,,,,,,,,,,
"TGFB1","T074587","T074598","T074600","T074601","T074602","T074603","T074605",,,,,,,
"FN1","T118302","T118304","T118314","T118318","T118352","T118388","T118396","T118397","T118554","T118556",,,,
"APOB","T118185",,,,,,,,,,,,,
"VEGFA","T166092","T166093","T166095","T166100",,,,,,,,,,
