Vv_stef,2000,1000,gt-001
rank,node,Fabs,Frel,Class
1,VIT_03s0038g01410,5271,0.639064015519,??
2,VIT_10s0003g01010,5091,0.613669238187,??
3,VIT_07s0031g01680,4893,0.594965953307,??
4,VIT_12s0059g01830,4770,0.580009727626,??
5,VIT_08s0007g09000,4478,0.542656325739,??
6,VIT_12s0059g01590,4372,0.529297820823,??
7,VIT_13s0019g04260,4319,0.522881355932,??
8,VIT_01s0137g00410,4286,0.520398251578,??
9,VIT_13s0067g02910,4229,0.511985472155,??
10,VIT_12s0059g00190,4123,0.501581508516,??
11,VIT_18s0122g00220,4114,0.499514327343,??
12,VIT_14s0060g01090,3974,0.483925962007,??
13,VIT_08s0040g02250,3961,0.479772286822,??
14,VIT_13s0067g00400,3911,0.47509718173,??
15,VIT_14s0066g02270,3905,0.472074468085,??
16,VIT_01s0010g00710,3823,0.462832929782,??
17,VIT_14s0006g02290,3815,0.458754208754,??
18,VIT_13s0067g00730,3796,0.45845410628,??
19,VIT_13s0019g02880,3741,0.453564500485,??
20,VIT_14s0066g00400,3703,0.448739699467,??
21,VIT_09s0054g01220,3646,0.440977261732,??
22,VIT_09s0002g06990,3628,0.439650993698,??
23,VIT_06s0004g01550,3628,0.437530149542,??
24,VIT_18s0041g00710,3576,0.434191355027,??
25,VIT_15s0046g01960,3559,0.432127246236,??
26,VIT_14s0066g00300,3504,0.425862907146,??
27,VIT_05s0049g01400,3469,0.421609139524,??
28,VIT_00s1314g00010,3465,0.420101842871,??
29,VIT_08s0007g02000,3369,0.408264663112,??
30,VIT_19s0090g00730,3260,0.39640077821,??
31,VIT_06s0080g00760,3252,0.395620437956,??
32,VIT_15s0046g03240,3256,0.394953905871,??
33,VIT_09s0002g03050,3218,0.390723652258,??
34,VIT_10s0092g00150,3181,0.387926829268,??
35,VIT_01s0137g00170,3171,0.385204081633,??
36,VIT_02s0025g01240,3174,0.384634028114,??
37,VIT_19s0090g01050,3172,0.384578079534,??
38,VIT_04s0008g02520,3161,0.384549878345,??
39,VIT_02s0025g02620,3149,0.383276533593,??
40,VIT_07s0205g00180,3102,0.37645631068,??
41,VIT_18s0166g00220,3110,0.375967117988,??
42,VIT_15s0046g00310,3106,0.375302078299,??
43,VIT_08s0007g00570,3083,0.375060827251,??
44,VIT_00s0286g00130,3080,0.374149659864,??
45,VIT_06s0061g00240,3071,0.371432027092,??
46,VIT_00s0399g00020,3010,0.365646258503,??
47,VIT_01s0011g00080,2944,0.358150851582,??
48,VIT_09s0002g03130,2917,0.355731707317,??
49,VIT_15s0021g02110,2909,0.352179176755,??
50,VIT_02s0025g03320,2888,0.350485436893,??
51,VIT_11s0016g01320,2855,0.346985901799,??
52,VIT_15s0048g03000,2777,0.337834549878,??
53,VIT_11s0037g00320,2769,0.335717749758,??
54,VIT_03s0038g01830,2745,0.333779182879,??
55,VIT_07s0005g00450,2755,0.333696705426,??
56,VIT_18s0001g10050,2749,0.333292919496,??
57,VIT_01s0026g00080,2730,0.333089311859,??
58,VIT_13s0073g00140,2693,0.327456225681,??
59,VIT_01s0026g00570,2704,0.325469427058,??
60,VIT_04s0008g03950,2697,0.32541023166,??
61,VIT_03s0063g01880,2668,0.324574209246,??
62,VIT_08s0056g00800,2679,0.323238416988,??
63,VIT_00s0361g00090,2624,0.319688109162,??
64,VIT_15s0046g02380,2610,0.315217391304,??
65,VIT_00s0207g00010,2586,0.315212091663,??
66,VIT_18s0001g10060,2585,0.314018464529,??
67,VIT_15s0021g02510,2599,0.313434635794,??
68,VIT_10s0003g00600,2554,0.309650824442,??
69,VIT_04s0069g01120,2495,0.303823672674,??
70,VIT_09s0054g00430,2537,0.303614169459,??
71,VIT_07s0031g01270,2497,0.30215392062,??
72,VIT_16s0098g01740,2480,0.300970873786,??
73,VIT_16s0050g02100,2451,0.29759592035,??
74,VIT_08s0056g01130,2459,0.297124214596,??
75,VIT_01s0026g02040,2400,0.290556900726,??
76,VIT_18s0001g14910,2363,0.288170731707,??
77,VIT_10s0597g00050,2365,0.287852969815,??
78,VIT_00s0225g00070,2367,0.284906114588,??
79,VIT_18s0122g01280,2321,0.280449492508,??
80,VIT_05s0029g00480,2287,0.277548543689,??
81,VIT_00s0820g00020,2273,0.275314922481,??
82,VIT_05s0124g00100,2266,0.274334140436,??
83,VIT_00s0225g00080,2255,0.272870280736,??
84,VIT_04s0023g03710,2252,0.272639225182,??
85,VIT_14s0068g00170,2243,0.272208737864,??
86,VIT_10s0003g05420,2225,0.271739130435,??
87,VIT_11s0016g04540,2223,0.271362304688,??
88,VIT_10s0003g00620,2243,0.270893719807,??
89,VIT_05s0102g00370,2227,0.270398251578,??
90,VIT_04s0043g00560,2203,0.267224648229,??
91,VIT_11s0052g00800,2153,0.260275628627,??
92,VIT_11s0016g00330,2137,0.25834139265,??
93,VIT_13s0067g01570<br>VIT_13s0067g01640,2109,0.256819288846,??
94,VIT_14s0128g00160,2100,0.252768415985,??
95,VIT_09s0002g03140,2067,0.251459854015,??
96,VIT_08s0007g02920,2061,0.250729927007,??
97,VIT_16s0050g00830,2074,0.250725338491,??
98,VIT_14s0030g00220,2069,0.250363020329,??
99,VIT_12s0059g02310,2070,0.25,??
100,VIT_19s0015g00510,2074,0.25,??
101,VIT_07s0031g01890,2077,0.25,??
102,VIT_13s0067g01350,2072,0.249879401833,??
103,VIT_13s0067g02390,2069,0.249879227053,??
104,VIT_09s0002g02490,2063,0.249757869249,??
105,VIT_10s0116g01840,2056,0.249635745508,??
106,VIT_14s0068g00140,2057,0.249514798641,??
107,VIT_07s0104g00090,2055,0.249514327343,??
108,VIT_00s0665g00020,2054,0.24927184466,??
109,VIT_17s0053g00590,2050,0.249149246475,??
110,VIT_02s0012g01660,2067,0.249036144578,??
111,VIT_00s0218g00100,2056,0.248910411622,??
112,VIT_05s0062g00820,2051,0.24890776699,??
113,VIT_00s0522g00010<br>VIT_00s0266g00010<br>VIT_00s0372g00070<br>VIT_00s0372g00080<br>VIT_00s0572g00010<br>VIT_00s0372g00040<br>VIT_00s0847g00020<br>VIT_00s0572g00020,2049,0.248906705539,??
114,VIT_02s0025g02630,2052,0.248787584869,??
115,VIT_12s0059g00230,2057,0.248670212766,??
116,VIT_12s0059g01870,2045,0.248662451362,??
117,VIT_18s0001g11120,2048,0.248423095585,??
118,VIT_19s0090g00710,2052,0.248185776488,??
119,VIT_18s0122g01400,2045,0.24817961165,??
120,VIT_10s0042g01010,2044,0.248178727538,??
121,VIT_13s0067g01410,2054,0.24794785128,??
122,VIT_08s0058g00800,2060,0.247834456208,??
123,VIT_18s0041g00840,2034,0.247807017544,??
124,VIT_00s0186g00090,2043,0.247696411251,??
125,VIT_14s0219g00280,2048,0.247223563496,??
126,VIT_15s0046g03230,2046,0.246506024096,??
127,VIT_02s0012g00660,2030,0.246359223301,??
128,VIT_15s0046g00710,2045,0.246148290804,??
129,VIT_17s0053g00710,2030,0.245881782946,??
130,VIT_02s0025g04550,2013,0.243704600484,??
131,VIT_03s0063g01890,2020,0.243608297154,??
132,VIT_13s0067g01590,2013,0.243586640852,??
133,VIT_18s0001g02720,2016,0.24347826087,??
134,VIT_06s0004g03210,2006,0.243446601942,??
135,VIT_12s0057g01030,2003,0.243082524272,??
136,VIT_06s0009g03390,1989,0.24173553719,??
137,VIT_12s0028g03960,2000,0.24154589372,??
138,VIT_04s0023g01720,1974,0.241202346041,??
139,VIT_18s0001g01320,1978,0.240398638794,??
140,VIT_15s0046g02400,1989,0.239407799711,??
141,VIT_14s0128g00510<br>VIT_14s0128g00550,1962,0.237185686654,??
142,VIT_15s0048g02680,1961,0.237179487179,??
143,VIT_10s0042g01040,1945,0.236733203505,??
144,VIT_11s0016g01290,1939,0.236117876279,??
145,VIT_02s0033g01050,1941,0.235901798736,??
146,VIT_01s0026g02030,1940,0.235665694849,??
147,VIT_00s0194g00210<br>VIT_00s0194g00250,1927,0.234428223844,??
148,VIT_17s0000g00950,1928,0.234207968902,??
149,VIT_12s0028g00310,1943,0.234096385542,??
150,VIT_03s0038g03810,1922,0.233592610598,??
151,VIT_10s0003g00560,1928,0.233188195452,??
152,VIT_00s0218g00220,1926,0.233171912833,??
153,VIT_15s0046g00170,1917,0.232984929509,??
154,VIT_12s0034g00250,1908,0.23291015625,??
155,VIT_18s0001g08410,1909,0.232691370063,??
156,VIT_18s0072g01000,1915,0.232290150412,??
157,VIT_00s0361g00040,1919,0.231875302078,??
158,VIT_02s0025g00560,1899,0.231585365854,??
159,VIT_15s0046g00700,1902,0.231161886242,??
160,VIT_19s0014g04620,1899,0.230237633366,??
161,VIT_00s0271g00030<br>VIT_00s0271g00060,1890,0.230150998539,??
162,VIT_14s0036g00460,1910,0.230009633911,??
163,VIT_03s0038g01280,1900,0.229247104247,??
164,VIT_14s0068g00870,1895,0.229086073501,??
165,VIT_14s0066g02410,1879,0.228144730452,??
166,VIT_05s0077g02000,1876,0.227669902913,??
167,VIT_05s0020g04020,1868,0.227582846004,??
168,VIT_01s0010g03850,1884,0.227536231884,??
169,VIT_14s0108g00150,1883,0.22686746988,??
170,VIT_08s0007g05180,1867,0.224831406551,??
171,VIT_01s0182g00130,1853,0.223900434993,??
172,VIT_02s0012g01440,1841,0.223530840214,??
173,VIT_04s0023g02880,1835,0.223127431907,??
174,VIT_03s0088g00270,1853,0.223038035628,??
175,VIT_06s0004g06700,1828,0.223035627135,??
176,VIT_16s0050g01950,1830,0.222953216374,??
