Vv_m2,2000,1000,VIT_17s0000g03940
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_19s0014g04880,2071,1.0000,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
2,VIT_00s0218g00100,2073,1.0000,Metal transporter Nramp6,NRAMP6,,vv50124Porters_cat_30_to_64,
3,VIT_00s0522g00010<br>VIT_00s0266g00010<br>VIT_00s0372g00070<br>VIT_00s0372g00080<br>VIT_00s0572g00010<br>VIT_00s0372g00040<br>VIT_00s0847g00020<br>VIT_00s0572g00020,2079,1.0000,
4,VIT_19s0014g04900,2065,1.0000,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
5,VIT_11s0016g03250,2069,0.9995,Lachrymatory factor synthase,,,,
6,VIT_18s0001g10330,2059,0.9985,Subtilisin protease,ARA12,,vv50101Channels_and_pores,
7,VIT_04s0023g02230,2064,0.9971,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
8,VIT_02s0087g00490,2045,0.9971,10-deacetylbaccatin III 10-O-acetyltransferase,E2_3_1_167,,vv10904Diterpenoid_biosynthesis,
9,VIT_17s0000g03930,2058,0.9928,ferulate 5-hydroxylase,K09755,,vv10940Phenylpropanoid_biosynthesis,
10,VIT_05s0094g01120,2060,0.9923,NADP-dependent oxidoreductase,E1_6_5_5,,,
11,VIT_18s0001g12900,2058,0.9918,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
12,VIT_16s0022g00840,2054,0.9918,Invertase/pectin methylesterase inhibitor,PMEI,,vv40006Cell_wall,
13,VIT_11s0016g02700,2027,0.9888,IAA-amino acid hydrolase 2 (ILL2),ILL2,,vv11002Auxin_biosynthesis,
14,VIT_08s0032g00790,2051,0.9870,ABC transporter G member 4,K05680,,vv52010ABC_transporters,
15,VIT_09s0002g00420,2028,0.9869,Senescence-associated protein,,,,
16,VIT_18s0001g09980,2047,0.9865,Unknown protein,,,,
17,VIT_10s0116g00710,2020,0.9844,Tryptophan synthase  beta subunit,E4_2_1_20,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
18,VIT_05s0062g00640,2026,0.9802,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
19,VIT_12s0134g00600,2029,0.9797,Anthocyanin 5-aromatic acyltransferase,E2_3_1_153,,vv10941Flavonoid_biosynthesis,vv10942Anthocyanin_biosynthesis
20,VIT_10s0092g00260,2028,0.9783,Alpha-glucosidase 1 (AGLU1),E3_2_1_20,,vv10052Galactose_metabolism,vv10500Starch_and_sucrose_metabolism
21,VIT_19s0014g04840,2004,0.9630,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
22,VIT_15s0048g01600,1988,0.9627,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
23,VIT_04s0008g03510,1993,0.9619,Lignostilbene-alpha beta-dioxygenase and related enzymes,E1_14_99_36,,vv10906Carotenoid_biosynthesis,
24,VIT_01s0011g02420,1993,0.9600,Unknown,,,,
25,VIT_18s0001g06690,1977,0.9592,Gibberellin 20 oxidase 2,E1_14_11_12,,vv10904Diterpenoid_biosynthesis,
26,VIT_19s0015g02080,1971,0.9587,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
27,VIT_13s0064g00390,1975,0.9583,Polyamine oxidase,E1_5_3_11,,vv11000Single_reactions,
28,VIT_04s0079g00790,1956,0.9445,Acyl-CoA synthetases (Acyl-activating enzyme 11),E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
29,VIT_15s0046g03240,1940,0.9422,Unknown protein,,,,
30,VIT_15s0048g01500,1962,0.9410,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
31,VIT_07s0205g00180,1948,0.9402,Basic helix-loop-helix (bHLH) family,BHLHDOM_30,,vv60011BHLH,
32,VIT_04s0023g02260,1957,0.9400,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
33,VIT_06s0004g01480,1928,0.9382,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
34,VIT_06s0061g01390,1927,0.9291,CBF transcription factor,CBF1_2,VvERF027,vv30008Ethylene_signaling,vv60003AP2_EREBP
35,VIT_07s0141g00060,1906,0.9266,Beta-ketoacyl-CoA-synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
36,VIT_19s0014g04930,1910,0.9232,Germacrene-D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
37,VIT_16s0022g02330,1908,0.9231,MADS-box agamous-like 6,AGL6_2,,vv60042MADS,
38,VIT_02s0033g01020,1907,0.9217,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
39,VIT_06s0080g01020,1906,0.9177,Secoisolariciresinol dehydrogenase,SIRD,,vv10940Phenylpropanoid_biosynthesis,
40,VIT_10s0092g00250,1892,0.9171,Alpha-glucosidase 1 (AGLU1),E3_2_1_20,,vv10052Galactose_metabolism,vv10500Starch_and_sucrose_metabolism
41,VIT_18s0001g07360,1873,0.9119,ER6 protein universal stress protein (USP) family,USPER6,,vv30008Ethylene_signaling,
42,VIT_02s0025g02610,1848,0.9001,Basic helix-loop-helix (bHLH) family,BHLHDOM_48,,vv60011BHLH,
43,VIT_04s0008g03520,1862,0.8973,Ring-H2 finger protein ATL4J,VVL4J_2,,vv60078Other_zf-C3HC4,
44,VIT_00s0271g00030<br>VIT_00s0271g00060,1851,0.8972,
45,VIT_06s0004g02390,1852,0.8943,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
46,VIT_19s0014g04850,1852,0.8943,Germacrene-D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
47,VIT_02s0033g01030,1850,0.8942,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
48,VIT_03s0038g03940,1828,0.8839,Tonoplast monosaccharide transporter2,TMT2,,vv50121Porters_cat_1_to_6,
49,VIT_08s0007g00710,1815,0.8828,Unknown,,,,
50,VIT_10s0116g01140,1818,0.8761,Stigma-specific Stig1,,,,
51,VIT_02s0012g00400,1811,0.8732,1-aminocyclopropane-1-carboxylate oxidase,E1_14_17_4,,vv10640Propanoate_metabolism,vv30008Ethylene_signaling
52,VIT_13s0064g01640,1798,0.8728,Beta-primeverosidase,E3_2_1_149,,vv11000Single_reactions,
53,VIT_00s0266g00020<br>VIT_00s0372g00020<br>VIT_00s0271g00010<br>VIT_00s0385g00020<br>VIT_00s0522g00020<br>VIT_00s0372g00060<br>VIT_00s0372g00030<br>VIT_00s0385g00010,1803,0.8719,
54,VIT_11s0052g01730,1796,0.8693,1-deoxy-D-xylulose-5-phosphate synthase,E2_2_1_7,,vv10100Biosynthesis_of_steroids,
55,VIT_01s0011g00100,1790,0.8681,MADS-box APETALA 1,APETALA1_2,,vv30009Flower_development,vv60042MADS
56,VIT_18s0086g00220,1799,0.8653,Lipase GDSL,,,,
57,VIT_08s0007g00630,1795,0.8646,No hit,,,,
58,VIT_04s0008g01450,1779,0.8615,Cyclopropane-fatty-acyl-phospholipid synthase,E2_1_1_79,,vv10271Methionine_metabolism,
59,VIT_04s0008g01260,1794,0.8604,Zinc transporter ZIP4,ZIP4,,vv50121Porters_cat_1_to_6,
60,VIT_02s0025g02970,1767,0.8565,flavanone 3-beta-hydroxylase,E1_14_11_9,,vv10941Flavonoid_biosynthesis,
61,VIT_04s0008g07110,1762,0.8508,Aspartic proteinase nepenthesin-2 precursor,E3_4_23_12,,,
62,VIT_03s0038g00140,1753,0.8493,Unknown protein,,,,
63,VIT_03s0017g01290,1757,0.8476,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
64,VIT_04s0023g00700,1760,0.8449,Serine carboxypeptidase S10,,,,
65,VIT_07s0005g03170,1747,0.8444,Undecaprenyl pyrophosphate synthetase,E2_5_1_31,,vv10900Terpenoid_biosynthesis,
66,VIT_12s0035g00530,1736,0.8395,Unknown protein,,,,
67,VIT_08s0032g00050,1736,0.8395,Acyl-activating enzyme 15,E6_2_1_3_AAE15,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
68,VIT_00s2081g00010,1740,0.8345,3-hydroxyisobutyrate dehydrogenase,E1_1_1_31,,vv10280Valine_leucine_and_isoleucine_degradation,
69,VIT_06s0004g01460<br>VIT_06s0004g01450,1723,0.8300,
70,VIT_19s0090g00800,1718,0.8276,F-box protein,,,,
71,VIT_15s0046g00700,1696,0.8261,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
72,VIT_18s0089g00670,1683,0.8158,No hit,,,,
73,VIT_10s0003g02170<br>VIT_10s0003g02220,1673,0.8098,
74,VIT_13s0084g00130,1682,0.8090,CXE carboxylesterase,E3_1_1_1,,,
75,VIT_15s0048g02820,1659,0.8077,Basic helix-loop-helix (bHLH) family,BHLHDOM_3,,vv60011BHLH,
76,VIT_01s0137g00410,1659,0.8061,CYP86A2,,,,
77,VIT_19s0014g04920,1659,0.7953,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
78,VIT_07s0141g00070,1636,0.7934,Beta-keto-Coa synthase,,,,
79,VIT_15s0046g00710,1637,0.7889,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
80,VIT_16s0022g00830,1628,0.7880,Pectin methylesterase inhibitor,PMEI,,vv40006Cell_wall,
81,VIT_06s0009g00320,1637,0.7874,U-box protein,,,,
82,VIT_00s0612g00010,1621,0.7816,Phospholipase/carboxylesterase,E3_1_1_1,,,
83,VIT_02s0025g04370,1608,0.7813,S-N-methylcoclaurine 3'-hydroxylase,E1_14_13_71,,vv10950Alkaloid_biosynthesis_I,
84,VIT_09s0002g09020,1610,0.7804,No hit,,,,
85,VIT_14s0006g00570,1611,0.7775,Unknown protein,,,,
86,VIT_11s0037g00290,1609,0.7769,Plastocyanin domain-containing protein,K02638,,vv10195Photosynthesis,vv50113Thylakoid_targeting_pathway
87,VIT_16s0098g01740,1591,0.7720,Unknown protein,,,,
88,VIT_19s0014g03820,1590,0.7711,Myb domain protein 102,MYB102_2,MYB145,vv60044MYB,
89,VIT_09s0018g01800,1598,0.7697,Acid phosphatase,E3_1_3_2,,vv10740Riboflavin_metabolism,
90,VIT_06s0009g02640,1591,0.7682,Hydroxymethylglutaryl-CoA lyase,E4_1_3_4,,vv10072Synthesis_and_degradation_of_ketone_bodies,vv10280Valine_leucine_and_isoleucine_degradation
91,VIT_18s0041g00330,1591,0.7653,ATP-dependent protease La (LON) domain-containing protein,E3_4_21_53,,,
92,VIT_08s0007g06080,1580,0.7637,Beta 1-3 glucanase [Vitis vinifera],E3_2_1_6,,,
93,VIT_08s0007g02000,1572,0.7609,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
94,VIT_00s0301g00180,1566,0.7576,NADPH quinone oxidoreductase,E1_6_5_5,,vv10740Riboflavin_metabolism,
95,VIT_08s0007g09000,1562,0.7575,Glycerol-3-phosphate dehydrogenase,E1_1_1_8,,vv10564Glycerophospholipid_metabolism,
96,VIT_17s0000g02770,1570,0.7574,Disease resistance protein (CC-NBS-LRR class),,,,
97,VIT_16s0039g01410,1556,0.7531,Tocopherol O-methyltransferase  chloroplast precursor,E2_1_1_95,,vv10100Biosynthesis_of_steroids,
98,VIT_01s0011g04010,1549,0.7516,Catalytic,,,,
99,VIT_11s0016g01280,1549,0.7505,DNA-directed RNA polymerase III subunit C4,K03026,,vv23020RNA_polymerase,
100,VIT_12s0142g00130,1548,0.7500,MAPK (MPK20),,,,
101,VIT_10s0116g01580,1538,0.7430,No hit,,,,
102,VIT_02s0033g01050,1536,0.7417,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
103,VIT_11s0052g01780,1526,0.7368,1-deoxy-D-xylulose-5-phosphate synthase,E2_2_1_7,,vv10100Biosynthesis_of_steroids,
104,VIT_00s0724g00010,1494,0.7231,Pinene synthase,E4_2_3_14,,vv10902Monoterpenoid_biosynthesis,
105,VIT_03s0017g01280,1489,0.7211,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
106,VIT_08s0007g05990,1488,0.7209,Beta 1-3 glucanase,E3_2_1_6,,,
107,VIT_12s0035g00550,1491,0.7199,Unknown protein,,,,
108,VIT_18s0086g00280,1482,0.7173,DNA mismatch repair protein MSH3,K08736,,vv23430Mismatch_repair,
109,VIT_06s0004g06730,1486,0.7151,Microsomal omega-3 fatty acid desaturase,K10257,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
110,VIT_19s0090g01550,1474,0.7138,Mo25,K08272,,vv34150mTOR_signaling_pathway,
111,VIT_06s0004g03360,1482,0.7122,Carbamoyl phosphate synthase large subunit,E6_3_5_5,,vv10240Pyrimidine_metabolism,vv10251Glutamate_metabolism
112,VIT_17s0000g09550,1480,0.7119,CYP71A26,,,,
113,VIT_07s0104g00490,1476,0.7113,Unknown,,,,
114,VIT_06s0009g02340,1463,0.7092,Tryptophan/tyrosine permease family,TRYTYRPERM,,vv50124Porters_cat_30_to_64,
115,VIT_09s0002g06750,1456,0.7089,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
116,VIT_06s0009g00480,1460,0.7087,Aluminium-tolerance ALMT1,ALMT1,,vv50125Porters_cat_66_to_94,
117,VIT_03s0038g03080,1460,0.7077,Catechol O-methyltransferase,E2_1_1_6,,vv10350Tyrosine_metabolism,
118,VIT_18s0089g00860,1458,0.7057,Ring-H2 finger protein ATL4E,,,,
119,VIT_13s0067g00370,1460,0.7033,Pinene synthase,E4_2_3_14,,vv10902Monoterpenoid_biosynthesis,
120,VIT_05s0094g00960,1449,0.7024,UDP-xylose phenolic glycosyltransferase,,,,
121,VIT_05s0020g01040,1452,0.7014,Unknown protein,,,,
122,VIT_18s0001g11710,1441,0.7002,Photosystem II PsbO protein,K02716,,vv10195Photosynthesis,vv50113Thylakoid_targeting_pathway
123,VIT_13s0067g03750,1442,0.6983,Stigma/style ABC transporter WBC19,WBC19,,vv52010ABC_transporters,
124,VIT_07s0031g01780,1444,0.6916,TRNA-histidine guanylyltransferase,,,,
125,VIT_04s0023g02290,1437,0.6902,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
126,VIT_08s0040g01790,1407,0.6863,Laccase (diphenol oxidase)-like protein,E1_10_3_2,,vv11000Single_reactions,vv50109Incompletely_characterized_transport_systems
127,VIT_00s0820g00020,1414,0.6818,Anthocyanidine rhamnosyl-transferase,RHATR,,vv10942Anthocyanin_biosynthesis,
128,VIT_00s0245g00010,1372,0.6686,Integral membrane protein,,,,
129,VIT_14s0066g01730,1378,0.6663,Cellulose synthase CSLC04,E2_4_1_12_CSLC04,,vv40006Cell_wall,
130,VIT_13s0067g00250,1381,0.6652,(-)-a-terpineol synthase,VVTPS,,vv10902Monoterpenoid_biosynthesis,
131,VIT_14s0060g01810,1368,0.6644,Unknown protein,,,,
132,VIT_05s0029g01410,1365,0.6569,No hit,,,,
133,VIT_06s0004g01150,1351,0.6546,No hit,,,,
134,VIT_19s0015g00510,1348,0.6525,Pectate lyase 2,E4_2_2_2,,vv40006Cell_wall,
135,VIT_14s0036g00440,1349,0.6523,Unknown protein,,,,
136,VIT_14s0006g00270,1354,0.6522,No hit,,,,
137,VIT_14s0066g01000,1337,0.6512,Phosphate/phosphoenolpyruvate translocator,PPTLREL,,vv50122Porters_cat_7_to_17,
138,VIT_02s0087g00470,1342,0.6493,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
139,VIT_14s0108g00630,1333,0.6437,Amino acid permease,AAPREL,,vv50123Porters_cat_18_to_29,
140,VIT_11s0016g02740,1328,0.6419,Beta-carotene 15 15'-monooxygenase,E1_14_99_36,,vv10906Carotenoid_biosynthesis,
141,VIT_03s0017g01570,1316,0.6407,FAD-binding domain-containing protein,,,,
142,VIT_03s0038g02290,1314,0.6372,Amino acid permease 3,AAP3,,vv50123Porters_cat_18_to_29,
143,VIT_03s0180g00240,1310,0.6322,No hit,,,,
144,VIT_01s0011g03430,1305,0.6313,No hit,,,,
