v1,full_name,reaction_EC,gene_symbol,v3,Vitisnet_Network1,Vitisnet_Network2,,
VIT_14s0083g01050,putative MADS-box sepallata 1,,VviSEP1,Vitvi14g01344,vv30009Flower_development,vv60042MADS,,
VIT_17s0000g05000,putative MADS-box sepallata 2,,VviSEP2,Vitvi17g00471,vv30009Flower_development,vv60042MADS,,
VIT_01s0010g03900,putative MADS-box sepallata 3,,VviSEP3,Vitvi01g01677,vv30009Flower_development,vv60042MADS,,
VIT_01s0011g00110,putative MADS-box sepallata 4,,VviSEP4,Vitvi01g00011,vv30009Flower_development,vv60042MADS,,
VIT_03s0017g00870,acetyl transferase,,3AT,Vitvi03g01816,,,,
VIT_01s0010g02740,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL1,Vitvi01g01561,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_14s0171g00290,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL10,Vitvi14g01588,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_14s0171g00300,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL11,Vitvi14g01589,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_16s0039g02040,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL12,Vitvi16g00139,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_16s0050g00390,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL13,Vitvi16g01036,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_17s0000g01790,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL14,Vitvi17g00148,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_18s0001g00280,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL15,Vitvi18g00124,vv10592alpha-Linolenic_acid_metabolism,vv50104Group_translocators,,
VIT_18s0001g00290,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL16,Vitvi18g00126,vv10592alpha-Linolenic_acid_metabolism,vv50104Group_translocators,,
VIT_01s0010g03720,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL2,Vitvi01g01661,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_02s0025g03660,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL3,Vitvi02g00338,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_02s0109g00250,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL4,Vitvi02g00938,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_04s0008g02550,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL5,Vitvi04g00220,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_06s0061g00450,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL6,Vitvi06g01318,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_08s0007g05050,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL7,Vitvi08g01625,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_11s0052g01090,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL8,Vitvi11g01257,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
VIT_11s0052g01110,4CL (4-Coumarate:CoA Ligase),6.2.1.12,4CL9,Vitvi11g01258,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators,,
,,,5GT,Vitvi19g02353,,,,
VIT_00s0531g00050,Acetoacetyl-CoA Thiolase,,AACT1,Vitvi10g02269,vv10071Fatty_acid_metabolism,vv10072Synthesis_and_degradation_of_ketone_bodies,,
VIT_12s0057g01200,Acetoacetyl-CoA Thiolase,,AACT2,Vitvi12g02504,vv10071Fatty_acid_metabolism,vv10072Synthesis_and_degradation_of_ketone_bodies,,
VIT_16s0050g02480,ATP-binding cassette (ABC),,ABCC1,Vitvi16g01210,vv52010ABC_transporters,,,
VIT_10s0042g00820,putative MADS-box B-Sister 1,,ABS1,Vitvi10g01395,vv60042MADS,,,
VIT_01s0011g01560,putative MADS-box B-Sister 2,,ABS2,Vitvi01g00126,vv60042MADS,,,
VIT_02s0025g02350,putative MADS-box B-Sister 3,,ABS3,Vitvi02g00206,vv60042MADS,,,
VIT_06s0004g03430,arogenate dehydratase,4.2.1.91,AD1,Vitvi06g00346,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,,,
VIT_06s0061g01300,arogenate dehydratase,4.2.1.91,AD2,Vitvi06g01946,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,,,
