Vv_m2,2000,1000,VIT_06s0004g01500
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_09s0002g07790,2075,1.0000,Ubiquitin-conjugating enzyme 16 UBC16,K10688,,vv24120Ubiquitin_mediated_proteolysis,
2,VIT_06s0004g01470,2083,1.0000,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
3,VIT_07s0005g03970,2083,1.0000,Peptide transporter protein 3,PTR3,,vv50122Porters_cat_7_to_17,
4,VIT_04s0008g05110,2069,0.9995,Unknown,,,,
5,VIT_13s0067g02360,2073,0.9981,Peroxidase  class III,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
6,VIT_03s0038g03090,2067,0.9961,Catechol O-methyltransferase,E2_1_1_6,,vv10350Tyrosine_metabolism,
7,VIT_15s0048g01500,2067,0.9961,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
8,VIT_05s0094g00560,2051,0.9956,Stearoyl-ACP desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
9,VIT_08s0007g06010,2047,0.9947,Beta 1-3 glucanase [Vitis vinifera],E3_2_1_6,,,
10,VIT_10s0003g03550,2064,0.9942,Lupeol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
11,VIT_12s0035g00060,2045,0.9937,DNA (cytosine-5)-methyltransferase,E2_1_1_37,,vv10271Methionine_metabolism,
12,VIT_01s0011g00990,2041,0.9908,RPM1 (resistance to p. syringae pv maculicola 1),K13457,,vv34626Plant-pathogen_interaction,
13,VIT_16s0022g01070,2044,0.9851,Chalcone synthase [Vitis vinifera],E2_3_1_74,,vv10941Flavonoid_biosynthesis,
14,VIT_06s0004g01480,2036,0.9831,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
15,VIT_01s0011g00970,2043,0.9808,RPM1 (resistance to p. syringae pv maculicola 1),K13457,,vv34626Plant-pathogen_interaction,
16,VIT_05s0124g00230,2020,0.9792,F-box domain containing protein,,,,
17,VIT_09s0002g03000,2025,0.9768,Leucine-rich repeat protein kinase,,,,
18,VIT_11s0037g00680,2021,0.9759,Leucine Rich Repeat receptor-like kinase,,,,
19,VIT_13s0064g01040,2027,0.9741,No hit,,,,
20,VIT_06s0061g00980,2010,0.9687,Prolylcarboxypeptidase,E3_4_16_2,,,
21,VIT_00s0353g00030,2009,0.9687,S-locus lectin protein kinase,,,,
22,VIT_00s0199g00290,1996,0.9680,No hit,,,,
23,VIT_08s0058g01470,1993,0.9670,No hit,,,,
24,VIT_03s0017g00970,1996,0.9638,No hit,,,,
25,VIT_13s0156g00050,1999,0.9629,Male sterility 2 (MS2) protein,,,,
26,VIT_12s0035g00550,1981,0.9621,Unknown protein,,,,
27,VIT_17s0000g03330,1992,0.9614,Receptor serine/threonine kinase PR5K,,,,
28,VIT_07s0005g01520,1974,0.9578,WRKY DNA-binding protein 35,WRKY35,VvWRKY18,vv60066WRKY,
29,VIT_05s0051g00120,1969,0.9544,N-6 Adenine-specific DNA methylase,E2_1_1_72,,vv10271Methionine_metabolism,
30,VIT_05s0094g00580,1974,0.9518,Stearoyl-CoA 9-desaturase,E1_14_19_1,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
31,VIT_12s0035g00150,1978,0.9496,Leucine Rich Repeat receptor-like kinase,,,,
